"","tweet","sentiment"
"44","frankly condemn qatar hosting world cup stayed silent israel hostin","neutral"
"45","dreamers music fifa official soundtrack de ha superado millones","neutral"
"46","quite treat morning watching world cup also watching nfl redzone enjoy","positive"
"47","check panini prizm soccer gavi green wave rookie rc spain via","neutral"
"48","israeli media faced boycott extreme embarrassment qatar muslim world cup fans world r","negative"
"49","arabs world cup refuse speak israeli media","negative"
"50","morocco african team havent conceded goal fifa world cup qatar","negative"
"51","moroccan fans continue vandalizing attacking police brussels morocco defeated belgium world cup","positive"
"52","international press reports belgian fans rioting brussels belgium lost morocco world cup","neutral"
"53","american football team kicked world cup qatar","neutral"
"54","youre welcome theres israel theres palestine israeli correspondent reporting","positive"
"55","hugo lloris says late pressure controversial qatar ahead frances world cup campaign","negative"
"56","germany kept world cup hopes alive rdminute tying goal spain see play unfolded photo","neutral"
"57","israeli journalists say surprised level enmity faced qatar world cup surpris","negative"
"58","member made noise recently youngest member jeon jungkook recently","negative"
"59","btw official website palestine listed asian countries israel officially qatar d","neutral"
"60","israeli reporter world cup qatari always centrist liberal amp open w will make peace alw","positive"
"61","loving way people refusing talk israeli media covering fifa world cup qatar","neutral"
"62","israeli journalists qatar world cup shunned left right amp center fans particularly middl","positive"
"63","world cup recap day morocco beats belgium germany still qatar world cup d","neutral"
"64","breaking chinese media blur spectators qatar world cup dont want chinese people know peopl","negative"
"65","pictures qatar cruise ship used one accommodation places world cup spectators","neutral"
"66","ia amazing impressed projects hopefully event commu","positive"
"67","ia amazing impressed projects hopefully event commu","positive"
"68","fuck world cup fuck slavery migrant workers died building stadiums qatar world cup","negative"
"69","real reason hate qatar world cup via","negative"
"70","homosexuality decriminalised englandwales respect laws brigade say","positive"
"71","world cup right now anyones game just many twists turns taking look group wise group netherlands","positive"
"72","loona hyunjin absent fifa qatar world cup preview show today shouldve appeared panelist since","neutral"
"73","stream jung kook dreamers fifa opening ceremony en el canal bangtantv super mill","neutral"
"74","belgian police detained dozen people made one arrest sunday moroccos victory belgi","positive"
"75","football fans raise palestine flag spain vs germany world cup match qatar","positive"
"76","according first paragraph th chapter fifa statutes united states banned playi","neutral"
"77","usei o shazam para descobrir dreamers music fifa official soundtrack de jung kook","negative"
"78","went industrial fan zone doha migrant workers live monthly salary amp dorms sleep even","neutral"
"79","wondering surviving fact qatar govt banned sell alc","neutral"
"80","insane sanju samson fans showing support qatar fifa world cup match","positive"
"81","jungkook dreamers music fifa official soundtrack melon new peak","neutral"
"82","referensi suzanne miers slavery twentieth century evolution global problem rowman altamira","negative"
"83","analysis israelis welcome qatar expect","positive"
"84","many rapists photo suppose fuck qatar fuck fifa fuck world cup","negative"
"85","forgotten qatar world cup","neutral"
"86","new scandal world cup qatar cameroonian midfielder gondoua wearing boots russian amp cameroonian flags fifa","negative"
"87","analysis israelis welcome qatar expect","positive"
"88","qatar managed turn one worlds beautiful displays multiculturalism disgusting display jewha","neutral"
"89","life qatars labour city","neutral"
"90","leaked audio recording farsnews irgc commander speaking seems oddly specific details world cup s","negative"
"91","apple music top global dreamers jung kook im streaming","neutral"
"92","qatar irans coach carlos queiroz demands jurgen klinsmanns resignation following comments irans team","negative"
"93","ceo katara studios ahmed al baker clarifies personally chosen jeon jungkook perform world cu","neutral"
"94","two german soccer fans told cnn asked remove rainbowcolored items wearing made way w","positive"
"95","qatar fifa world cup prominent islamic proselytizers malaysiabased indian scholar zakir naik uae","positive"
"96","highlights piala dunia spanyol v jerman hightlights via","neutral"
"97","meet morteza iranian footballer representing country qatar watch world cup","neutral"
"98","usa directly insults islamic republic iran deleting word means god irans flag th","negative"
"99","jung kook dreamers fifa opening ceremony","negative"
"100","beloved palestine beautiful countries morocco world cup fans sing solidarity palestine","positive"
"101","fan holds picture journalist shireen abu akleh stands canadacroatia world cup match qatar","neutral"
"102","friend said something super gay like didnt go world cup qatar laug","positive"
"103","doha qatar us soccer federation displaying irans national flag social media without emblem","neutral"
"104","good morning hope youre enjoying world cup fan experience qatar kenyans asking p","positive"
"105","quite brilliant amp interesting project early stage community fast growing t","positive"
"106","picture","neutral"
"107","france received million winning world cup russia amount increased millio","positive"
"108","watch full match highlights fifa match spain andgermany","neutral"
"109","world cup recap day morocco beats belgium germany still qatar world cup","neutral"
"110","world cup recap day morocco beats belgium germany still qatar world cup","neutral"
"111","enjoy betting sportsbetio qatar world cup games using crypto win big betbuilder feature allows yo","positive"
"112","situation different qatar getting host socce","neutral"
"113","qatar world cup police asks im gay","neutral"
"114","environmental monitoring laboratory department ministry environment climate change coop","neutral"
"115","sanju samson fans showing support qatar fifa world cup matches","positive"
"116","turning blind eye pedophilia amp sexualization children well forcing vaccinations upon people","neutral"
"117","teams eliminated world cup qatar canada","neutral"
"118","frankly condemn qatar hosting world cup stayed silent israel hosting eurovision","neutral"
"119","power packed day fifa world cup fans look forward day qatar will look like th","positive"
"120","super proud part team fifa world cup qatar","positive"
"121","moroccan fans clean stadium moroccos fifa world cup match croatia qatar","positive"
"122","matchday fifa spain germany","neutral"
"123","cant express gratitude happiness participation biggest event times world cup c","positive"
"124","caught eye ongoing world cup qatar speeches hollywood star morgan freeman amp qatari influencer","neutral"
"125","prostrate mean chat now know answer","neutral"
"126","shouldnt hosted world cup qatar begin","neutral"
"127","qatar world cup lgbtq western criticism islam upcoming video blogging theology","negative"
"128","jamal musiala might sleepless night ahead crucial miss","negative"
"129","referensi suzanne miers slavery twentieth century evolution global problem rowman altamira","negative"
"130","favourite footballer messi","neutral"
"131","clear country whose flag years old withstand greatness yearold flag fifa","positive"
"132","taliban helped build stadiums qatar world cup","positive"
"133","germanys starting posed right hands front mouths protest fifas decision ban onelove","neutral"
"134","palestine free languages people earth qatar world cup brings togethe","positive"
"135","appreciate project strong amp good looking project im participatin","positive"
"136","didnt expect tweet take way denial claiming fake htt","negative"
"137","qatar helping iran silence dissidents world cup","neutral"
"138","frankly condemn qatar hosting world cup stayed silent israel hosting eur","neutral"
"139","despite criticism world cup unique opportunity foster friendship understanding collective learning","negative"
"140","deaths migrant workers qatar buildup years world cup drawn criticism across wo","negative"
"141","sanju samson fans qatar football world cup become common mans fight justice now mighty h","positive"
"142","theres one fifa anthem people want talk bts jungkook fahad al kubaisis","neutral"
"143","arabs saying best world cup time arab teams well dancing japanese","positive"
"144","surprise world rooster streamed thanks","neutral"
"145","olympics","neutral"
"146","black sunday yaounde landslide kills dozen funeral qatar world cup cameroon faces serbia die m","negative"
"147","mind kept skipping photo peripheral thinking just world cup stadium qatar just realized ka","neutral"
"148","fifa us soccer representatives told publicly rainbows shirts flags problem qat","negative"
"149","foreign affairs cs alfred mutua south korea practicing tae kwon sports cs ababu namwamba qatar watching th","neutral"
"150","hobi ig zoomed little bit coming qatar world cup opening ceremony","neutral"
"151","riots erupt belgian dutch cities morocco pull world cup upset beating belgium riots broken","negative"
"152","jamal musiala might sleepless night ahead crucial miss","negative"
"153","riots erupt belgian dutch cities morocco pull world cup upset beating belgium riots broken ou","negative"
"154","fans tunisia oman india among performing prayer uniformed fifa officials children dress","positive"
"155","world cup recap day morocco beats belgium germany still qatar world cup","neutral"
"156","wtb lfs ph rodrigo bentancur prio son heungmin richarlison fifa random sticker can pay","neutral"
"157","first qatar world cup nfts collection thiago silva listed auction weth collection ht","neutral"
"158","amazing project happy among early supporters project","positive"
"159","youre mad qatar hosting world cup surely learning curve preventing similar grievances occurring","negative"
"160","frankly condemn qatar hosting world cup stayed silent israel hosting eurov","neutral"
"161","dont want know scammed look world cup qatar","neutral"
"162","chinese bus maker helps facilitate qatars ecofriendly world cup","positive"
"163","world cup football qatar nothing combination human rights violations","neutral"
"164","adaaaa vidio private bulan support device private k antilimit sharing u k","positive"
"165","according first paragraph th chapter fifa statutes united states banned playing","neutral"
"166","big opportunity made professional experienced team without","neutral"
"167","qatar name place never feel inferior yearn pray grace world cup hasnt ended","neutral"
"168","utterly insane tsn broadcasters world cup coverage flew qatar decid","negative"
"169","qatar reportedly spent bn years since won rights host mens world cup expects th","positive"
"170","irgc officer says qatar helping iran silence dissidents world cup","neutral"
"171","protested security advised remove rainbow watch reluctantly agreed now bbc camera","negative"
"172","eight stadiums fifa world cup qatar","neutral"
"173","dream hosting looks away ever lastminute uturn sellin","neutral"
"174","now moment fans across world journey qatar now wonder togetherness inc","positive"
"175","public transportation continues play pivotal role transporting fans ensuring easy access stadiums","positive"
"176","metaoasis dao fifa join discord participate rewards winners will receive spec","neutral"
"177","israelis qatar world cup harassed bullied streets going annex country","negative"
"178","last night closed fifa world cup show steve shoebridge drums original doha b","neutral"
"179","panini qatar world cup footballer star official sticker collection book collection limited quantity sticker bo","negative"
"180","congratulations team ksa great victory today argentina football world cup held qatar","positive"
"181","good morning world cup fever bado iko qatar","neutral"
"182","open vidio piala dunia fifa mobile bulan private k sharing user k scree","neutral"
"183","vidio fifa private device bulan k ewallet qris dm","neutral"
"184","used discover dreamers music fifa official soundtrack jung kook","negative"
"185","german team wont punished protest lgbtq armband ban","negative"
"186","qatars problematic world cup beyond scenes daily show via","negative"
"187","anyone blocked professional contrarian snowflake ask deleted tweet qatars u","neutral"
"188","ive participatedi hope many people will lucky get prize event","positive"
"189","people criticized qatar banning booze world cup","negative"
"190","politicians want score points qatars foreign minister laments double standards two weeks football","neutral"
"191","im sad werent able perform qatar visa problems definitely years best world cup song","negative"
"192","lusail stadium qatar fixture list dec world cup final may beheading junebeheading auguststonin","neutral"
"193","surprise world rooster streamed thanks","neutral"
"194","dreamers jungkook tiktok surpassed k videos increased k videos last hours","neutral"
"195","favourite footballer modric","neutral"
"196","th chapter fifa statutes united states banned playing games american football","neutral"
"197","nagas impossible tamul reaches qatar fifa world cup","negative"
"198","fifa live tuesday th november portugal v uruguay ecuador v senegal pm ne","neutral"
"199","fullkrug equaliser gives germany qatar world cuplifeline","neutral"
"200","herv renard fancam edit football coach fifa never weeknd edit","neutral"
"201","joy sweeps victory qatar","positive"
"202","last night closed fifa world cup show steve shoebridge drums original doha b","neutral"
"203","another program watch see behind story qatar time hidden lense korean media must","neutral"
"204","armys dont forget streams buy dreamers platforms dreamers store itunes","neutral"
"205","germany kept world cup hopes alive rdminute tying goal spain see play unfolded wit","neutral"
"206","vidio fifa bulan alldev k sharing u bulan alldev k private b","neutral"
"207","fifa live tuesday th november portugal v uruguay ecuador v senegal pm ne","neutral"
"208","israelis shunned qatar world cup welcome","neutral"
"209","appreciate project strong amp good looking project im participatin","positive"
"210","first woman get arrested qatar world cup","neutral"
"211","one pervasive reoccurring pieces qatar figure mi","negative"
"212","frankly condemn qatar hosting world cup stayed silent israel hostin","neutral"
"213","see will launching october many congrats","neutral"
"214","american football team kicked qatar world cup unprecedented insult","negative"
"215","dreamers jungkook bts now spotify apple music","neutral"
"216","qatar helping iran silence dissidents world cup","neutral"
"217","police detained people made arrest moroccos victory world cup match trigger","positive"
"218","fifa live tuesday th november portugal v uruguay ecuador v senegal pm ne","neutral"
"219","police detained people made arrest moroccos victory world cup match","positive"
"220","nice project unique ideai glad participate project","positive"
"221","good morning world cup fever bado iko qatar","neutral"
"222","dreamers music fifa official soundtrack","neutral"
"223","november south korea vs ghana","neutral"
"224","england start phil foden mason mount vs wales","neutral"
"225","fifa spain vs germany fulltime","neutral"
"226","qatars ghanaian workers cheer black stars suffered able enjoy","positive"
"227","qatar world cup bracket simulator predictor fifa predictions proven soccer expert","positive"
"228","thank making opportunity believe faithful project project h","positive"
"229","saudi commuters descend doha inandout world cup new york times","neutral"
"230","john olivers episode qatar world cup good video recommend anyone interested top","positive"
"231","mint virus scare qatar fifa world cup fans risk camel flu infection mint","negative"
"232","doha qatar chants regarding brazilian presidentelect lula da silva saying lula t","neutral"
"233","used shazam discover dreamers music fifa official soundtrack jung kook","negative"
"234","straight number latest world cup track dreamers jungkook qatars fahad al kubaisi topped itunes chart","neutral"
"235","dreamers performance jungkook fifa opening ceremony posted bangtantv still trending","neutral"
"236","vidio fifa device bulan sharing k private k tag jual premium prem piala du","neutral"
"237","dont see works wont qualify therefore wont many intens","positive"
"238","us accused disrespect flag alteration ahead iran clash clarification accusation di","negative"
"239","cultural ministers korea qatar agree expand cultural cooperation jungkooks performance fifa world cup","neutral"
"240","nice project coming future good congratulations members work","positive"
"241","lgbt qataris dont want westerners protesting rights newsweek","negative"
"242","panini qatar world cup official ball star collectibles sticker lionel messi neymar jr footballer fan giftsper","neutral"
"243","fifa will one spectacular world cups time thats just o","positive"
"244","final standings canada","neutral"
"245","vidio fifa bulan tidak termasuk plan diamond amp plan platinum private mobile kk p","neutral"
"246","ive seen lot online arab whining western criticism qatar world cup move o","negative"
"247","israeli reporter denies hes spotted football fan world cup","negative"
"248","dipshit instagram comments actually nerve say can agree best hosted world cu","positive"
"249","fefemz represents korea fifa world cup pump many show watch practice even including","neutral"
"250","five talking points day eight fifa world cup inqatar","neutral"
"251","apple music us worldwide jung kook dreamers","negative"
"252","good projects crypto assets generating holding coins information ne","positive"
"253","much id like see usa beat iran world cup boycott qatarhosted abortion continues whi","neutral"
"254","also dont forget stream official mv official audio bangtantv htt","neutral"
"255","sensational answer john barnes regards world cup held qatar respecting islamic law","positive"
"256","police used water cannons teargas coming attack football supporters brought havoc center","negative"
"257","brazilian football fans give yellow jersey qatar world cup","positive"
"258","isnt standing anyone pure unadulterated harassment antisemitism courtesy","neutral"
"259","qatar iran vs united states tournament fifa womcos","neutral"
"260","fans tunisia oman india among performing prayer uniformed fifa officials childre","positive"
"261","looks like reporter going extra mile portray qatar ghost town world cup espn journa","positive"
"262","country oldest group club players qatar heres definitive world cup squad","neutral"
"263","voices currently justifiably critical qatar world cup sadly remarkably sil","negative"
"264","ready vidio world cup device bulan sharing u k u k bulan private k","positive"
"265","best project ever happy participating project hope proje","positive"
"266","israelis shunned qatar world cup welcome jerusalem post israeli journalists fans b","positive"
"267","iran complains fifa us soccer removes islamic emblem flag","negative"
"268","croatia vs canada highlights fifa via","neutral"
"269","wishing qatar best successfully holding football world cup begins today first time","positive"
"270","fitting world cup tiny qatar","neutral"
"271","croatia vs canada highlights fifa via","neutral"
"272","supplied ra","neutral"
"273","moroccan football fans unfurled free palestine banner th minute stunning qatar world cup victory","positive"
"274","people think hinduism needs evolve gains popularity boss qatar hosting football world cup wit","positive"
"275","will young condemned david beckham controversial deal qatar world cup","negative"
"276","voices currently justifiably critical qatar world cup sadly remarkably silent r","neutral"
"277","t youtube spotify viu wetv iqiyi anti limit hbogo apple music appmus inshot lightroom icloud tezza quillbot unfol","negative"
"278","moroccan fans assaulting belgian reporter antwerpen morocco defeated belgium world cup qatar","positive"
"279","england fans face stadium ban culturally insensitive crusader costumes world cup qatar","neutral"
"280","iran complains fifa us soccer removes islamic emblem flag","negative"
"281","carried jersey backpack picture pocket im qatar father wonder","positive"
"282","fifa group e matchday morata esp ger morata","neutral"
"283","germany spain fullkrug equaliser gives germany qatar world cup lifeline","neutral"
"284","saw nothing disrespect usa world cup qatar first photographer humiliated mckenney","negative"
"285","keep beating records viewership streaming records argentina vs mexico match averaging total audience d","neutral"
"286","police used water cannon teargas coming attack football fans brought havoc centre brussels foll","negative"
"287","sanju samson fans showing support qatar fifa world cup matches","positive"
"288","iranian activists journalists identifying islamic republic officials basij militiamen proregime activists","neutral"
"289","footballers watch anybody listening","neutral"
"290","day country playing today games scheduled november wales v ir","neutral"
"291","iran coach klinsmann resign outrageous bbc comment qatar world cup news","negative"
"292","fifa group e matchday halftime esp ger","neutral"
"293","great excellent project also reward great thanks shared","positive"
"294","qatar world cup cruel lesson sports gamblers","negative"
"295","star parade qatar world cup sets record turns destination world leaders","neutral"
"296","violent riots unexpected win","negative"
"297","q understand hostility shouldnt","negative"
"298","qatar world cup exposes western lgbtq hypocrisy via","negative"
"299","ytn radio fm topic rediscovery jungkook amp world cup performance amp ost kim johan qatar worl","neutral"
"300","time fifaworld cup held rabid fanatic islamist nation qatar qatar amazing tra","negative"
"301","france nazism associated ukraine charlie hebdo rolled special issue adventures ukrainian","negative"
"302","brazilian fans call lula thief match brazil serbia fifa world cup doha","positive"
"303","palestine heavily present moroccan football fans wave palestinian flag world","positive"
"304","iran protests documents obtained iran international show iran coordinating fifa world cup host qatar cont","negative"
"305","nucleic acid testing companies made countless profits years fifa world cup qa","neutral"
"306","arab football fans refusing speak israeli reporters qatar world cup solidarity palestin","positive"
"307","celebrate start qatar world cup new users register now will get free sign get","positive"
"308","quite brilliant amp interesting project early stage community fast growing t","positive"
"309","aaaand week qatar world cup national team rooting let us know commen","neutral"
"310","world cup way better people speak corruption qatar qatar dont speak","neutral"
"311","like tell things womens world cup sent stadium regime qatar","positive"
"312","qatar world tournament wallchart soccer wallchart schedule track scores schedule t","neutral"
"313","varane says france must avoid comparing current squad team won r","positive"
"314","really legit project excellent iniative super technical team guy","positive"
"315","morocco beats belgium second match takes lead group h points morocco second musli","positive"
"316","spain vs germany will germans break spaniards winning streak match preview trad","neutral"
"317","world cup soccer qatar match usuk qatar musicians played katuschka famous russian song","positive"
"318","fifa guess winner pick teamcountry choice stand chance","positive"
"319","qatar needs get round qatar world cup news read full article","neutral"
"320","multiple claimed met atmosphere hostility hatred world cup w","negative"
"321","many migrant workers died qatar know human cost world cup world cup","negative"
"322","world cup qatar well underway regime occupying palestine saw opportunity try ext","positive"
"323","anybody know gay football players world cup qatar","neutral"
"324","excellent fan support will make envy crypto world","positive"
"325","amazing people worldwide rank ener valencia ecuador best player qatar world cup","positive"
"326","betting predictions day nov via","neutral"
"327","england start phil foden mason mount vs wales","neutral"
"328","neymar told brazil dont need teammates can replace thnx","neutral"
"329","voices currently justifiably critical qatar world cup sadly remarkably silent r","neutral"
"330","china caught altering tv broadcast world cup due fury harsh covid lockdowns still place","negative"
"331","canadas payday mens world cup qatar exceed us million","positive"
"332","lede isnt israeli reporter abused qatar world cu","negative"
"333","spain germany spain take germany second group game qatar world cup germans hoping av","neutral"
"334","want know world cup qatar obviously bribery netflix got great deep dive","neutral"
"335","great countries still bitter political feud world","neutral"
"336","german football team makes statement fifa world cup qatar","neutral"
"337","japan successfully copied saudi arabia robin hood world cup model football collect rich give po","positive"
"338","qatar world cup one image people died years exploitation overwork poor imm","negative"
"339","vidio private bulan support device private k antilimit sharing u","positive"
"340","issues surrounding lgbtq rights host nation qatar world soccer governing body fifa teams fans just wont","neutral"
"341","team can lift fifa world cupcup tackling tactfully acharya v c malarmannan world cup","neutral"
"342","issues freedom expression drawing global attention throughout fifa events","neutral"
"343","fifa nd round standings group f croatia morocco belgi","neutral"
"344","star parade qatar world cup sets record turns destination worldleaders","neutral"
"345","someone said france african team well world cup qatar cant yall","positive"
"346","favourite footballer messi","neutral"
"347","every single ordinary person went world cup fun complicit qatars sports wa","neutral"
"348","couldnt missed ronaldo messis last world cup zain imam currently qatar fifa world cup","negative"
"349","frankly condemn qatar hosting world cup stayed silent israel hosting eur","neutral"
"350","qatar smallest nation host world cup heres compares host countries","neutral"
"351","enjoy world cup football games soft touches happy ending qatar world cup massage service","positive"
"352","qatar world cup dressing room ready players arrive","positive"
"353","marketwatch first take qatar world cup controversies raise profile sportsrelated esg says portfoliomanager","neutral"
"354","vice president bolivarian republic venezuela arrived doha attend fifa opening","negative"
"355","enjoy world cup football games soft touches happy ending qatar world cup massage service","positive"
"356","fifa hosted world cup radicalised country like qatar terrorist mindset zakir naik","positive"
"357","japan v costa rica group e fifa highlights fifa com","neutral"
"358","november stjungkooks solo schedule jungkook performing qatar fifa world cup opening ceremony","neutral"
"359","celebrate revelry qatar world cup will giveaway spots wl follow like retw","positive"
"360","soccer excellent great goals big upsets passion pitch soccer unifier al","positive"
"361","tourism minister lost elections leaving nacsponsored trip qatar watch world cup","negative"
"362","belgium v morocco group f fifa highlights fifa com","neutral"
"363","looks like international visitors compound world cup qatar","positive"
"364","theres israel saudi fan tells reporter welcome qatar","positive"
"365","qatar world cup controversies raise profile sportsrelated esg says portfoliomanager","neutral"
"366","breaking many migrant workers died qatar human cost world cup","negative"
"367","croatia v canada group f fifa highlights fifa com","neutral"
"368","fan holds picture journalist shireen abu akleh stands canadacroatia world cup match qatar","neutral"
"369","issues surrounding lgbtq rights host nation qatar world soccer governing body fifa teams fans just wont","neutral"
"370","arabs harass israeli journalists kan attempt cover fifa world cup","negative"
"371","israelis met atmosphere hostility world cup qatar wfans refu","negative"
"372","think funny western world cares ab middle east like gulf countries like asia c","positive"
"373","kizz daniel performing live qatar fifa world cup audience universally acceptable buga stuff enj","neutral"
"374","spain v germany group e fifa highlights fifa com","neutral"
"375","gotta start getting better friendlies think ahead preparation much next time around","positive"
"376","fifa","neutral"
"377","fifa world cup kicked albayt stadium qatar nov jin cancan yearold pupil g","neutral"
"378","scenes captured associated press photographers qatar currently hosting world cup","neutral"
"379","fifa world cup today november fixtures qatar november","neutral"
"380","welcome list qatar canada rt team scored mens fifa world cup","positive"
"381","china caught altering tv broadcast world cup due fury harsh covid lockdowns still","negative"
"382","fifa made complete collection can found","neutral"
"383","wales fan dies qatar supporting country world cup","neutral"
"384","controversy around world cup qatar led footballers looking ways speak injustic","neutral"
"385","belgian police detained dozen people made one arrest sunday moroccos victory b","positive"
"386","begun celebrate world cup mirror world prepared events great prizes","positive"
"387","qatar muslim country alcohol prohibited country qatar done good job r","positive"
"388","awarding world cup qatar pouring gasoline fire already highly combustible reg","neutral"
"389","songs will song arhbo feat world","positive"
"390","algerian journalist maryam akrata raises flag palestine fifa","neutral"
"391","fifa stadium construction timelapse","neutral"
"392","following world cup hadnt heard anyone hurt oppressed qatar realise th","negative"
"393","fact fund tune millions murderers butchered hundreds thousands indigenous black","neutral"
"394","sanju samsons fans made statement cricketer overlooked indias playing","positive"
"395","anish migrant qatar still owed thousands wages working lusail stadium site world","neutral"
"396","november cameroon vs serbia","neutral"
"397","panini prizm breakaway fifa soccer box shipped","neutral"
"398","excellent project future strong team transparent planned proj","positive"
"399","pleased meet ambassador qatar appreciate invitation brother attend fifa world cup","positive"
"400","defending world cup qatar lost respect","neutral"
"401","qatar world cup cant fans stadiums political displays like rainbows shirts suggest iranian","positive"
"402","road qatar users hold nation flag nft can join freemint pool world cup players launchpad","neutral"
"403","passion sport cheer qatar world cup","positive"
"404","demand expulsion american football team world cup qatar","neutral"
"405","issues surrounding lgbtq rights host nation qatar world soccer governing body fifa teams fans just wont","neutral"
"406","brazil must without injured star forward neymar switzerland world cup monday cristiano ronaldo loo","neutral"
"407","group games continue roll world cup qatar another four games docket monday w","neutral"
"408","world cup best bets day hot streak qatar check em","positive"
"409","criminal syrian regime killed syrians killed abdul basit alsarout courageous loyal man wou","negative"
"410","matt walsh exposes west hypocrisy qatar world cup via","negative"
"411","cocacola ok slave labor corrupt fifa dealing ok free speech","negative"
"412","democratic sen chris murphy tells cnns dana bash qatar complicated partner met human","negative"
"413","morocco belgium saudi arabia argentina iran wales world cup just keeps giving","neutral"
"414","qatar scores first ever goal fifa world cup","neutral"
"415","indian presence fifa world cup west bengal exported kgs mutton qatar ahead tournament","neutral"
"416","panini prizm breakaway fifa soccer box shipped","neutral"
"417","qatar helping iran silence opposition world cup report","neutral"
"418","qatar world cup will change life","neutral"
"419","qatar gonne need something fill stadiums world cup ends kid kid","neutral"
"420","really wonderful opportunity hope project will become splendid pla","positive"
"421","john barnes qatar world cup theyre inviting everyone come respect culture religions","positive"
"422","qatar world cup without russia russian song playing hard russia hearts billions","negative"
"423","startling new details show hard australia fight save fifa qatar worldcup","negative"
"424","favourite footballer world cup qat","neutral"
"425","fifa croatia vs canada group f watch live telecast live streaming ayi","neutral"
"426","win morocco another win muslim world years muslim hosted world cup marshaallah","positive"
"427","enjoy additional benefitsconnect us november updated ist doha comments sha","positive"
"428","someone wants watch world cup livestream subtitles heres link highlight dujun yoseobs live","neutral"
"429","joy sweeps victory qatar","positive"
"430","wales english football fans got brutal street fight outside bars spain friday things heated","neutral"
"431","jung kook dreamers fifa opening ceremony via","negative"
"432","fact fund tune millions murderers butchered hundreds thousands indi","neutral"
"433","excellent fan support will make envy crypto world","positive"
"434","ahead world cup bishop calls critical look situation christians qatar ahead w","negative"
"435","world cup newsletter insights qatar behindthescenes diary perhaps pinch concise tactical analysis st","neutral"
"436","fifa world cup saw five african teams suffer group stage elimination can avoid humiliat","negative"
"437","fifa world cup saw five african teams suffer group stage elimination can avoid s","negative"
"438","hypocrites every single one media sitting getting paid whilst moaning","negative"
"439","moroccan fans bumped senegalese fan streets qatar lifted air wishing sadi","neutral"
"440","welcome journalists attacked qatari threaten break cameras fans ar","neutral"
"441","camel coronavirus poses threat fans world cup qatar fans underlying health conditions avoid camels","positive"
"442","reason hosting world cup horrible idea provided name iranian fans many","neutral"
"443","november princess takamado hisako departed narita airport around pm qatar attend world cup age","neutral"
"444","guy cant tell difference protesting china world cup qatar","negative"
"445","night fan village world cup qatar","neutral"
"446","germany earned draw spain second world cup group match qatar alvaro morata g","neutral"
"447","reason like cow become one ababa namwamba qatar watching world cup","positive"
"448","police used water cannons tear gas coming attack football supporters brought havoc center bruss","negative"
